quando                    | quem    | balcao | o_que                     | canal_criado/usado 
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30732      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30745      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30731      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30744      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30742      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30726      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30744      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30724      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30729      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30726      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30734      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30724      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30734      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30727      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30727      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30775      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30775      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30738      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30738      
Wed May 27 18:25:00 2015  | Cliente | 2      | pede_atendimento          | /tmp/fc_30736      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30784      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30736      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30777      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30784      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30778      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30778      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30779      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30779      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30776      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30776      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30780      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30777      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30785      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30780      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30782      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30785      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30782      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30783      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30783      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30795      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30795      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30747      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30747      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30787      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30800      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30787      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30800      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30789      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30789      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30737      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30737      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30791      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30808      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30791      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30808      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30793      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30793      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30781      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30781      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30814      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30814      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30812      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30812      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30809      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30809      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30816      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30816      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30815      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30815      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30801      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30801      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30813      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30813      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30802      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30802      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30820      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30820      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30810      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30810      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30819      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30819      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30807      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30807      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30797      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30797      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30798      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30798      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30811      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30811      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30799      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30799      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30817      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30817      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30821      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30821      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30804      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30804      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30805      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30805      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30822      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30822      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30806      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30806      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30788      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30788      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30803      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30803      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30818      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30818      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30796      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30796      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30748      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30748      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30794      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30794      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30749      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30749      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30752      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30752      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30750      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30750      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30751      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30751      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30790      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30790      
Wed May 27 18:25:00 2015  | Cliente | 3      | pede_atendimento          | /tmp/fc_30792      
Wed May 27 18:25:00 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30792      
Wed May 27 18:25:01 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30691      
Wed May 27 18:25:01 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30691      
Wed May 27 18:25:01 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30721      
Wed May 27 18:25:01 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30721      
Wed May 27 18:25:01 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30743      
Wed May 27 18:25:01 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30743      
Wed May 27 18:25:02 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30694      
Wed May 27 18:25:02 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30694      
Wed May 27 18:25:02 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30725      
Wed May 27 18:25:02 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30725      
Wed May 27 18:25:02 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30746      
Wed May 27 18:25:02 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30746      
Wed May 27 18:25:03 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30683      
Wed May 27 18:25:03 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30683      
Wed May 27 18:25:03 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30733      
Wed May 27 18:25:03 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30733      
Wed May 27 18:25:03 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30739      
Wed May 27 18:25:03 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30739      
Wed May 27 18:25:04 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30684      
Wed May 27 18:25:04 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30684      
Wed May 27 18:25:04 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30723      
Wed May 27 18:25:04 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30740      
Wed May 27 18:25:04 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30723      
Wed May 27 18:25:04 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30740      
Wed May 27 18:25:05 2015  | Balcao  | 4      | cria_linh_mempart         | /tmp/fb_30881      
Wed May 27 18:25:05 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30680      
Wed May 27 18:25:05 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30680      
Wed May 27 18:25:05 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30728      
Wed May 27 18:25:05 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30728      
Wed May 27 18:25:05 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30741      
Wed May 27 18:25:05 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30741      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30887      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30887      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30889      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30889      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30890      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30890      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30888      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30888      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30897      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30897      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30898      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30898      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30891      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30891      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30892      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30892      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30902      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30902      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30903      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30903      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30893      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30893      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30896      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30896      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30900      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30900      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30895      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30895      
Wed May 27 18:25:06 2015  | Cliente | 4      | pede_atendimento          | /tmp/fc_30894      
Wed May 27 18:25:06 2015  | Balcao  | 1      | inicia_atend_cli          | /tmp/fc_30894      
Wed May 27 18:25:06 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30698      
Wed May 27 18:25:06 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30698      
Wed May 27 18:25:06 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30730      
Wed May 27 18:25:06 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30730      
Wed May 27 18:25:06 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30753      
Wed May 27 18:25:06 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30753      
Wed May 27 18:25:07 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30887      
Wed May 27 18:25:07 2015  | Cliente | 4      | fim_atendimento           | /tmp/fc_30887      
Wed May 27 18:25:07 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30695      
Wed May 27 18:25:07 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30695      
Wed May 27 18:25:07 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30732      
Wed May 27 18:25:07 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30732      
Wed May 27 18:25:07 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30745      
Wed May 27 18:25:07 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30745      
Wed May 27 18:25:08 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30889      
Wed May 27 18:25:08 2015  | Cliente | 4      | fim_atendimento           | /tmp/fc_30889      
Wed May 27 18:25:08 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30682      
Wed May 27 18:25:08 2015  | Cliente | 1      | fim_atendimento           | /tmp/fc_30682      
Wed May 27 18:25:08 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30731      
Wed May 27 18:25:08 2015  | Cliente | 2      | fim_atendimento           | /tmp/fc_30731      
Wed May 27 18:25:08 2015  | Balcao  | 1      | fim_atend_cli             | /tmp/fc_30742      
Wed May 27 18:25:08 2015  | Cliente | 3      | fim_atendimento           | /tmp/fc_30742      
